Date,Transaction,Name,Memo,Amount
2025-03-27,DEBIT,CHEVRON #1234          ANYTOWN       USA,24430995179388992121323; 05541; ; ; ;,-49.78
2025-03-28,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121324; 05411; ; ; ;,-89.34
2025-03-29,DEBIT,TARGET        00020883 ANYTOWN       USA,24430995179388992121325; 05310; ; ; ;,-156.78
2025-03-30,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121326; 05411; ; ; ;,-45.89
2025-03-31,CREDIT,PAYMENT   THANK YOU,WEB AUTOMTC; ; ; ; ;,2934.67
2025-04-01,DEBIT,COSTCO GAS #0148       ANYTOWN       USA,24430995179388992121327; 05542; ; ; ;,-54.32
2025-04-02,DEBIT,DAYCARE 1234           ANYTOWN       USA,24430995179388992121328; 05995; ; ; ;,-245.67
2025-04-03,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121329; 05541; ; ; ;,-43.78
2025-04-04,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24430995179388992121330; 05310; ; ; ;,-167.89
2025-04-05,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24430995179388992121331; 04899; ; ; ;,-91.45
2025-04-06,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121332; 05411; ; ; ;,-178.34
2025-04-07,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121333; 05541; ; ; ;,-46.89
2025-04-08,DEBIT,GEICO AUTO INS         800-861-8380  USA,24430995179388992121334; 05960; ; ; ;,-127.45
2025-04-09,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121335; 05411; ; ; ;,-89.78
2025-04-10,DEBIT,THE CHILDREN'S PLACE   ANYTOWN       USA,24430995179388992121336; 05651; ; ; ;,-78.91
2025-04-11,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24430995179388992121337; 05331; ; ; ;,-134.56
2025-04-12,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121338; 05411; ; ; ;,-67.23
2025-04-13,DEBIT,YMCA SWIM ACTIVITIES   ANYTOWN       USA,24430995179388992121339; 07997; ; ; ;,-89.56
2025-04-14,DEBIT,CHEVRON #5678          ANYTOWN       USA,24430995179388992121340; 05541; ; ; ;,-51.34
2025-04-15,DEBIT,BLUE CROSS BLUE SHIELD 800-555-1234  USA,24430995179388992121341; 05960; ; ; ;,-134.56
2025-04-16,DEBIT,TARGET        00020883 ANYTOWN       USA,24430995179388992121342; 05310; ; ; ;,-145.78
2025-04-17,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121343; 05411; ; ; ;,-56.89
2025-04-18,DEBIT,COSTCO WHSE #0470      ANYTOWN       USA,24430995179388992121344; 05300; ; ; ;,-256.78
2025-04-19,DEBIT,SHOPIFY MERCHANT XYZ   SHOP.COM      USA,24430995179388992121345; 05942; ; ; ;,-89.34
2025-04-20,DEBIT,TRADER JOE S #212      ANYTOWN       USA,24430995179388992121346; 05411; ; ; ;,-67.89
2025-04-21,DEBIT,PTA SCHOOL FUND        ANYTOWN       USA,24430995179388992121347; 08299; ; ; ;,-178.56
2025-04-22,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121348; 05541; ; ; ;,-44.67
2025-04-23,DEBIT,PROGRESSIVE INSURANCE  800-776-4737  USA,24430995179388992121349; 05960; ; ; ;,-98.45
2025-04-24,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121350; 05411; ; ; ;,-189.78
2025-04-25,DEBIT,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,24430995179388992121351; 05942; ; ; ;,-78.91
2025-04-26,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121352; 05541; ; ; ;,-47.23
2025-04-27,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24430995179388992121353; 05310; ; ; ;,-167.45
2025-04-28,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121354; 05411; ; ; ;,-78.34
2025-04-29,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121355; 05411; ; ; ;,-89.67
2025-04-30,CREDIT,PAYMENT   THANK YOU,WEB AUTOMTC; ; ; ; ;,2867.89
2025-05-01,DEBIT,COSTCO GAS #0470       ANYTOWN       USA,24430995179388992121356; 05542; ; ; ;,-55.78
2025-05-02,DEBIT,DAYCARE 1234           ANYTOWN       USA,24430995179388992121357; 05995; ; ; ;,-245.67
2025-05-03,DEBIT,CHEVRON #1234          ANYTOWN       USA,24430995179388992121358; 05541; ; ; ;,-48.91
2025-05-04,DEBIT,TARGET        00020883 ANYTOWN       USA,24430995179388992121359; 05310; ; ; ;,-156.34
2025-05-05,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24430995179388992121360; 04899; ; ; ;,-88.67
2025-05-06,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121361; 05411; ; ; ;,-167.89
2025-05-07,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121362; 05541; ; ; ;,-45.23
2025-05-08,DEBIT,GEICO AUTO INS         800-861-8380  USA,24430995179388992121363; 05960; ; ; ;,-127.45
2025-05-09,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121364; 05411; ; ; ;,-67.78
2025-05-10,DEBIT,THE CHILDREN'S PLACE   ANYTOWN       USA,24430995179388992121365; 05651; ; ; ;,-89.45
2025-05-11,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24430995179388992121366; 05331; ; ; ;,-123.67
2025-05-12,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121367; 05411; ; ; ;,-78.91
2025-05-13,DEBIT,YMCA SWIM ACTIVITIES   ANYTOWN       USA,24430995179388992121368; 07997; ; ; ;,-89.56
2025-05-14,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121369; 05541; ; ; ;,-46.34
2025-05-15,DEBIT,BLUE CROSS BLUE SHIELD 800-555-1234  USA,24430995179388992121370; 05960; ; ; ;,-134.56
2025-05-16,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121371; 05411; ; ; ;,-89.78
2025-05-17,DEBIT,COSTCO WHSE #0148      ANYTOWN       USA,24430995179388992121372; 05300; ; ; ;,-234.89
2025-05-18,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24430995179388992121373; 05310; ; ; ;,-178.45
2025-05-19,DEBIT,SHOPIFY MERCHANT XYZ   SHOP.COM      USA,24430995179388992121374; 05942; ; ; ;,-67.23
2025-05-20,DEBIT,TRADER JOE S #063      ANYTOWN       USA,24430995179388992121375; 05411; ; ; ;,-56.78
2025-05-21,DEBIT,PTA SCHOOL FUND        ANYTOWN       USA,24430995179388992121376; 08299; ; ; ;,-167.89
2025-05-22,DEBIT,CHEVRON #5678          ANYTOWN       USA,24430995179388992121377; 05541; ; ; ;,-49.67
2025-05-23,DEBIT,PROGRESSIVE INSURANCE  800-776-4737  USA,24430995179388992121378; 05960; ; ; ;,-98.45
2025-05-24,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121379; 05411; ; ; ;,-189.34
2025-05-25,DEBIT,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,24430995179388992121380; 05942; ; ; ;,-89.78
2025-05-26,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121381; 05541; ; ; ;,-44.91
2025-05-27,DEBIT,TARGET        00020883 ANYTOWN       USA,24430995179388992121382; 05310; ; ; ;,-145.67
2025-05-28,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121383; 05411; ; ; ;,-67.34
2025-05-29,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121384; 05411; ; ; ;,-78.56
2025-05-30,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121385; 05411; ; ; ;,-89.23
2025-05-31,CREDIT,PAYMENT   THANK YOU,WEB AUTOMTC; ; ; ; ;,2745.89
2025-06-01,DEBIT,COSTCO GAS #0148       ANYTOWN       USA,24430995179388992121386; 05542; ; ; ;,-53.67
2025-06-02,DEBIT,TRADER JOE S #212      ANYTOWN       USA,24137465152501133563696; 05411; ; ; ;,-22.43
2025-06-02,DEBIT,SPROUTS FARMERS MAR    ANYTOWN       USA,24427335152710038279670; 05411; ; ; ;,-28.89
2025-06-03,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24047555153900012100180; 05541; ; ; ;,-15.78
2025-06-04,DEBIT,COSTCO GAS #0148       ANYTOWN       USA,24943005155219545531558; 05542; ; ; ;,-44.36
2025-06-04,DEBIT,COSTCO WHSE #0148      ANYTOWN       USA,24943005155219524985742; 05300; ; ; ;,-89.76
2025-06-05,DEBIT,DAYCARE 1234           ANYTOWN       USA,24011345157100037351827; 05995; ; ; ;,-245.67
2025-06-06,DEBIT,WHOLEFDS CBL 10033     ANYTOWN       USA,24137465157001743751398; 05411; ; ; ;,-20.02
2025-06-07,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24692165158102285229686; 04899; ; ; ;,-85.34
2025-06-08,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24011345159100018320989; 05331; ; ; ;,-20.40
2025-06-09,DEBIT,AMAZON RETA* NH9CH2KO2 WWW.AMAZON.CO WA,24011345159100032586458; 05331; ; ; ;,-104.99
2025-06-09,DEBIT,GEICO AUTO INS         800-861-8380  USA,24692165158102285229686; 05960; ; ; ;,-127.45
2025-06-09,DEBIT,NIJIYA MARKET #64      ANYTOWN       USA,24445005159000770432970; 05411; ; ; ;,-2.69
2025-06-09,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24047555157900012500245; 05541; ; ; ;,-15.89
