,merchant_descriptor,dim_dt,merchant_name,category_name
29,United AMSTERDAM,2025-08-20 14:04:05.998220,United Air,Travel
30,TST*OLIVE GARDEN,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
31,TST *FRIDAYS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
32,United TOKYO,2025-08-20 14:04:05.998220,United Air,Travel
33,SQ *TACO BELL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
34,EZI*Pets Megastore,2025-08-20 14:04:05.998220,Retail - Pets,Retail
35,TST *CHILIS GRILL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
36,United PARIS,2025-08-20 14:04:05.998220,United Air,Travel
37,TST *CRACKER BARREL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
38,SQ *SUBWAY SANDWICHES,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
39,TST *GOLDEN CORRAL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
40,TST *CHEESECAKE FACTORY,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
41,SQ *JACK IN THE BOX,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
42,United STOCKHOLM,2025-08-20 14:04:05.998220,United Air,Travel
43,SQ *ARBYS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
44,SQ *STARBUCKS COFFEE,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
45,TST *OUTBACK STEAKHOUSE,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
46,THE HOME DEPOT #1861,2025-08-20 14:04:05.998220,The Home Depot,Retail
47,JETBLUE 2792185510208,2025-08-20 14:04:05.998220,JetBlue,Travel
48,United LONDON,2025-08-20 14:04:05.998220,United Air,Travel
49,United ROME,2025-08-20 14:04:05.998220,United Air,Travel
50,SQ *DUNKIN DONUTS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
51,SQ *IHOP,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
52,SQ *FIVE GUYS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
53,United MADRID,2025-08-20 14:04:05.998220,United Air,Travel
54,TST* WILDSEED - PALO ALTO,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
55,SQ *POPEYES,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
56,SQ *IN-N-OUT BURGER,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
57,TST*BOSTON MARKET,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
58,SQ *BLUE BOTTLE CAFE,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
59,TST *SUBWAY SANDWICHES,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
60,D J*WSJ,2025-08-20 14:04:05.998220,Wall Street Journal,Personal
61,United BERLIN,2025-08-20 14:04:05.998220,United Air,Travel
62,SQ *DOMINOS PIZZA,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
63,SQ *CHIPOTLE GRILL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
0,CHEVRON #1234 ANYTOWN USA,2025-08-20 14:04:05.998220,Chevron,Gas
1,COSTCO GAS #0148 ANYTOWN USA,2025-08-20 14:04:05.998220,Costco,Retail
2,DAYCARE 1234 ANYTOWN USA,2025-08-20 14:04:05.998220,Childcare,Bills & Utilities
3,YMCA SWIM ACTIVITIES ANYTOWN USA,2025-08-20 14:04:05.998220,Childcare,Bills & Utilities
4,WHOLEFDS CBL 10033 ANYTOWN USA,2025-08-20 14:04:05.998220,Whole Foods,Groceries
5,UTILITY COMPANY A 800-266-2278 USA,2025-08-20 14:04:05.998220,Utilities,Bills & Utilities
6,WALMART SUPERCENTER ANYTOWN USA,2025-08-20 14:04:05.998220,Walmart,Retail
7,SUNCO GAS STATION ANYTOWN USA,2025-08-20 14:04:05.998220,Sunco,Gas
8,BLUE CROSS BLUE SHIELD 800-555-1234 USA,2025-08-20 14:04:05.998220,Blue Cross Blue Shield,Healthcare
9,AMAZON RETA* NH9CH2KO2 WWW.AMAZON.CO WA,2025-08-20 14:04:05.998220,Amazon,Retail
10,THE CHILDREN'S PLACE ANYTOWN USA,2025-08-20 14:04:05.998220,Childrens Place,Retail
11,CHEVRON #5678 ANYTOWN USA,2025-08-20 14:04:05.998220,Chevron,Gas
12,PTA SCHOOL FUND ANYTOWN USA,2025-08-20 14:04:05.998220,PTA,Personal
13,PROGRESSIVE INSURANCE 800-776-4737 USA,2025-08-20 14:04:05.998220,Progressive,Bills & Utilities
14,TRADER JOE S #063 ANYTOWN USA,2025-08-20 14:04:05.998220,Trader Joes,Groceries
15,AMAZON PRIME VIDEO WWW.AMAZON.CO WA,2025-08-20 14:04:05.998220,Amazon,Retail
16,SAFEWAY #2150 ANYTOWN USA,2025-08-20 14:04:05.998220,Safeway,Groceries
17,ALDI GROCERY STORE ANYTOWN USA,2025-08-20 14:04:05.998220,Aldi,Groceries
18,COSTCO WHSE #0470 ANYTOWN USA,2025-08-20 14:04:05.998220,Costco,Retail
19,PAYMENT THANK YOU,2025-08-20 14:04:05.998220,Payment,Payment
20,SPROUTS FARMERS MAR ANYTOWN USA,2025-08-20 14:04:05.998220,Sprouts,Groceries
21,NIJIYA MARKET #64 ANYTOWN USA,2025-08-20 14:04:05.998220,Nijiya,Groceries
22,WHOLE FOODS MARKET ANYTOWN USA,2025-08-20 14:04:05.998220,Whole Foods,Groceries
23,TRADER JOE S #212 ANYTOWN USA,2025-08-20 14:04:05.998220,Trader Joes,Groceries
24,COSTCO WHSE #0148 ANYTOWN USA,2025-08-20 14:04:05.998220,Costco,Retail
25,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,2025-08-20 14:04:05.998220,Amazon,Retail
26,SHELL GAS STATION ANYTOWN USA,2025-08-20 14:04:05.998220,Shell Gas,Gas
27,TARGET 00020883 ANYTOWN USA,2025-08-20 14:04:05.998220,Target,Retail
28,KROGER STORE #456 ANYTOWN USA,2025-08-20 14:04:05.998220,Kroger,Groceries
29,GEICO AUTO INS 800-861-8380 USA,2025-08-20 14:04:05.998220,GEICO,Bills & Utilities
30,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,2025-08-20 14:04:05.998220,Amazon,Retail
31,SHOPIFY MERCHANT XYZ SHOP.COM USA,2025-08-20 14:04:05.998220,Retail - Small Merchant,Retail
32,COSTCO GAS #0470 ANYTOWN USA,2025-08-20 14:04:05.998220,Costco,Retail
